Chain #2
Seed for random number generator: 2 51 52 8 11

Acceptance rates for chain #2 (%)
ptild: 27.8169
theta: 30.8688
p: 32.84
F: 38.5445
Mt: 12.9127
nm: 28.0043
m: 51.8858

Migration rates
Into/From	1	2	3	4	5
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 6
1	0.466253	0.0540006
2	0.360628	0.0517795
3	0.0477012	0.0213711
4	0.0389398	0.019912
5	0.0121446	0.0116161
6	0.0301734	0.019608
7	0.0221928	0.0157747
8	0.00749898	0.00830655
9	0.00525939	0.00717128
10	0.00771679	0.0092316
11	0.00149243	0.0030492
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 7
1	0.118585	0.0341422
2	0.0929227	0.0287558
3	0.0595822	0.0258552
4	0.0298762	0.0192293
5	0.169476	0.0434629
6	0.306794	0.0533515
7	0.137475	0.033127
8	0.0667539	0.0261558
9	0.00204057	0.00385652
10	0.00476812	0.00615972
11	0.00677587	0.0076232
12	0.00137771	0.00296719
13	0.0018112	0.00381425
14	0.000935817	0.00256471
15	0.000825274	0.00223329
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
